Episode 110, Reward: 9.0, Avg Critic Loss: 0.0765, Avg Actor Loss: -4.5615, Avg Alpha Loss: -0.7008Updates: 383
Episode 111, Reward: 11.0, Avg Critic Loss: 0.0494, Avg Actor Loss: -4.6156, Avg Alpha Loss: -0.7002Updates: 394
Episode 112, Reward: 14.0, Avg Critic Loss: 0.0637, Avg Actor Loss: -4.6865, Avg Alpha Loss: -0.7030Updates: 408
Episode 113, Reward: 10.0, Avg Critic Loss: 0.0342, Avg Actor Loss: -4.7494, Avg Alpha Loss: -0.7049Updates: 418
Episode 114, Reward: 15.0, Avg Critic Loss: 0.0608, Avg Actor Loss: -4.8457, Avg Alpha Loss: -0.7111Updates: 433
Episode 115, Reward: 19.0, Avg Critic Loss: 0.0721, Avg Actor Loss: -4.9223, Avg Alpha Loss: -0.7128Updates: 452
Episode 116, Reward: 12.0, Avg Critic Loss: 0.0645, Avg Actor Loss: -5.0033, Avg Alpha Loss: -0.7054Updates: 464
Episode 117, Reward: 25.0, Avg Critic Loss: 0.0646, Avg Actor Loss: -5.1005, Avg Alpha Loss: -0.7138Updates: 489
Episode 118, Reward: 17.0, Avg Critic Loss: 0.0385, Avg Actor Loss: -5.2362, Avg Alpha Loss: -0.7196Updates: 506
Episode 119, Reward: 11.0, Avg Critic Loss: 0.0351, Avg Actor Loss: -5.3275, Avg Alpha Loss: -0.7249Updates: 517
Episode 120, Reward: 9.0, Avg Critic Loss: 0.0524, Avg Actor Loss: -5.3590, Avg Alpha Loss: -0.7231Updates: 526
Episode 121, Reward: 10.0, Avg Critic Loss: 0.0461, Avg Actor Loss: -5.4421, Avg Alpha Loss: -0.7288Updates: 536
Episode 122, Reward: 11.0, Avg Critic Loss: 0.0462, Avg Actor Loss: -5.4569, Avg Alpha Loss: -0.7250Updates: 547
Episode 123, Reward: 14.0, Avg Critic Loss: 0.0535, Avg Actor Loss: -5.5178, Avg Alpha Loss: -0.7209Updates: 561
Episode 124, Reward: 8.0, Avg Critic Loss: 0.0506, Avg Actor Loss: -5.6094, Avg Alpha Loss: -0.7293Updates: 569
Episode 125, Reward: 9.0, Avg Critic Loss: 0.0853, Avg Actor Loss: -5.6649, Avg Alpha Loss: -0.7363Updates: 578
