Episode 191, Reward: 0.06499999016523361, Avg Critic Loss: 0.0466, Avg Actor Loss: -2.2742, Avg Alpha Loss: -0.7124
Episode 192, Reward: 0.19499994814395905, Avg Critic Loss: 0.0394, Avg Actor Loss: -2.2956, Avg Alpha Loss: -0.7135
Episode 193, Reward: 0.05499999225139618, Avg Critic Loss: 0.0360, Avg Actor Loss: -2.2895, Avg Alpha Loss: -0.7114
Episode 194, Reward: 0.059999991208314896, Avg Critic Loss: 0.0428, Avg Actor Loss: -2.2992, Avg Alpha Loss: -0.7133
Episode 195, Reward: 0.1250000149011612, Avg Critic Loss: 0.0418, Avg Actor Loss: -2.3334, Avg Alpha Loss: -0.7142
Episode 196, Reward: 0.05499999225139618, Avg Critic Loss: 0.0545, Avg Actor Loss: -2.3224, Avg Alpha Loss: -0.7171
Episode 197, Reward: 0.04999999329447746, Avg Critic Loss: 0.0536, Avg Actor Loss: -2.3270, Avg Alpha Loss: -0.7103
Episode 198, Reward: 0.06999999284744263, Avg Critic Loss: 0.0622, Avg Actor Loss: -2.3347, Avg Alpha Loss: -0.7186
Episode 199, Reward: 0.05499999225139618, Avg Critic Loss: 0.0485, Avg Actor Loss: -2.3503, Avg Alpha Loss: -0.7179
Episode 200, Reward: 0.06499999016523361, Avg Critic Loss: 0.0367, Avg Actor Loss: -2.4039, Avg Alpha Loss: -0.7166
Episode 201, Reward: 0.06999999284744263, Avg Critic Loss: 0.0359, Avg Actor Loss: -2.4008, Avg Alpha Loss: -0.7162
